,,Bee,Bee,Bee,Bee,NoBee,NoBee,NoBee,NoBee,macro avg,macro avg,macro avg,macro avg,weighted avg,weighted avg,weighted avg,weighted avg,features,features,features,features,features,features,features,features,features
,accuracy,f1-score,precision,recall,support,f1-score,precision,recall,support,f1-score,precision,recall,support,f1-score,precision,recall,support,cqt,mfccs,flatness,spectral_centroid,spectral_rolloff,spectral_contrast,zero_crossing_rate,chroma,STFT
19,0.5314895247828308,0.3914378163112917,0.5583431952662722,0.3013541134389371,15656.0,0.619139103795628,0.521564167614382,0.7616249361267245,15656.0,0.5052884600534598,0.5399536814403271,0.5314895247828308,31312.0,0.5052884600534598,0.5399536814403272,0.5314895247828308,31312.0,False,False,False,True,False,False,False,False,True
20,0.6200817577925396,0.6152403130862281,0.6231817586161709,0.6074987225344916,15656.0,0.6248028764271747,0.6171339563862929,0.6326647930505876,15656.0,0.6200215947567014,0.6201578575012319,0.6200817577925396,31312.0,0.6200215947567014,0.6201578575012319,0.6200817577925396,31312.0,False,False,False,True,False,False,False,True,False
21,0.5656297904956566,0.5686467286162824,0.5647244094488189,0.5726239141543178,15656.0,0.5625703534557619,0.566560860270778,0.5586356668369954,15656.0,0.5656085410360221,0.5656426348597985,0.5656297904956566,31312.0,0.5656085410360222,0.5656426348597985,0.5656297904956566,31312.0,False,False,False,True,False,False,True,False,False
22,0.6340380684721513,0.6121509561685564,0.6510907912736698,0.5776060296371998,15656.0,0.6535868678013241,0.6204442403719221,0.6904701073071027,15656.0,0.6328689119849402,0.635767515822796,0.6340380684721512,31312.0,0.6328689119849403,0.6357675158227959,0.6340380684721513,31312.0,False,False,False,True,False,True,False,False,False
23,0.5571027082268779,0.5675169961953471,0.5544789762340037,0.5811829330608074,15656.0,0.5461744878591532,0.5599919473896121,0.5330224833929484,15656.0,0.5568457420272501,0.5572354618118078,0.5571027082268779,31312.0,0.5568457420272501,0.5572354618118079,0.5571027082268779,31312.0,False,False,False,True,True,False,False,False,False
24,0.5334057230454777,0.3949809508033791,0.5615873763542157,0.3046116504854368,15656.0,0.6202827736770973,0.5229184925503944,0.7621997956055186,15656.0,0.5076318622402383,0.542252934452305,0.5334057230454777,31312.0,0.5076318622402382,0.542252934452305,0.5334057230454777,31312.0,False,False,True,False,False,False,False,False,True
25,0.6164090444557997,0.604706269540892,0.6237354878131577,0.586803781297905,15656.0,0.6274388163404572,0.6099017065669662,0.6460143076136944,15656.0,0.6160725429406746,0.6168185971900619,0.6164090444557997,31312.0,0.6160725429406745,0.6168185971900619,0.6164090444557997,31312.0,False,False,True,False,False,False,False,True,False
26,0.5616057741440981,0.5443016963781828,0.5666689707610424,0.5236331119059785,15656.0,0.5776437648072367,0.5572573463935886,0.5995784363822176,15656.0,0.5609727305927097,0.5619631585773155,0.5616057741440981,31312.0,0.5609727305927097,0.5619631585773155,0.5616057741440981,31312.0,False,False,True,False,False,False,True,False,False
27,0.6173990802248339,0.5862973962290214,0.6381747105698391,0.5422202350536536,15656.0,0.6441513693340462,0.6020544142143254,0.6925779253960143,15656.0,0.6152243827815338,0.6201145623920823,0.6173990802248339,31312.0,0.6152243827815338,0.6201145623920823,0.6173990802248339,31312.0,False,False,True,False,False,True,False,False,False
28,0.5546116504854369,0.5574665228152568,0.5539160045402951,0.5610628513030148,15656.0,0.5517197042751526,0.555325482075838,0.5481604496678589,15656.0,0.5545931135452047,0.5546207433080665,0.5546116504854368,31312.0,0.5545931135452046,0.5546207433080664,0.5546116504854369,31312.0,False,False,True,False,True,False,False,False,False
29,0.5408788962698007,0.4918345705196182,0.5506569574164951,0.444366377107818,15656.0,0.5812896836954622,0.5342649105899989,0.6373914154317833,15656.0,0.5365621271075403,0.542460934003247,0.5408788962698007,31312.0,0.5365621271075401,0.542460934003247,0.5408788962698007,31312.0,False,False,True,True,False,False,False,False,False
30,0.5642884517118038,0.4708118381754004,0.5994074074074074,0.3876469085334696,15656.0,0.6296989930244552,0.5475055458535895,0.740929994890138,15656.0,0.5502554155999279,0.5734564766304984,0.5642884517118039,31312.0,0.5502554155999277,0.5734564766304985,0.5642884517118038,31312.0,False,True,False,False,False,False,False,False,True
31,0.6362097598364844,0.6505506641715495,0.6258780473407709,0.6772483392948391,15656.0,0.6206414227195525,0.6483891169716791,0.5951711803781298,15656.0,0.635596043445551,0.637133582156225,0.6362097598364844,31312.0,0.635596043445551,0.6371335821562251,0.6362097598364844,31312.0,False,True,False,False,False,False,False,True,False
